,H1_UNION,H2_RNN
test1,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.01695255193333435, 'g1': 0.008458547043799657, 'g2': 0.0069268391294461775, 'g3': 0.004754210304562224}"
test2,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.01738568133680462, 'g1': 0.007487415431110117, 'g2': 0.005353290518003814, 'g3': 0.0028955010828452914}"
test3,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.016339690125098536, 'g1': 0.008853455885261974, 'g2': 0.0067873873969850045, 'g3': 0.006260924384377996}"
test4,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.016890215027182184, 'g1': 0.010094625467747007, 'g2': 0.006512535424002675, 'g3': 0.005646188849563385}"
test5,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.018226873496429503, 'g1': 0.005932583950790306, 'g2': 0.0041710003341219725, 'g3': 0.0034453753938567143}"
