,H1_UNION,H2_RNN
test1,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.016979354588230137, 'g1': 0.0064958924571711235, 'g2': 0.005352765605836226, 'g3': 0.003846516902953317}"
test2,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.017932566469820478, 'g1': 0.008264394215877345, 'g2': 0.004935492350504018, 'g3': 0.003881432241839621}"
test3,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.017707795027780346, 'g1': 0.007420266217751733, 'g2': 0.005063050835160802, 'g3': 0.0030816406581822544}"
test4,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.01639036272850647, 'g1': 0.007884601219372523, 'g2': 0.00635821831464117, 'g3': 0.003728397353893691}"
test5,"{'g0': 1.0, 'g1': 1.0, 'g2': 1.0, 'g3': 0.0}","{'g0': 0.018143815212123025, 'g1': 0.006191650373914308, 'g2': 0.004890621534594413, 'g3': 0.003382134164767377}"
