,H1_UNION,H2_RNN
test1,"{'g1': 0.0, 'g2': 1.0}","{'g1': 0.004643717787534558, 'g2': 0.004297276169232548}"
test2,"{'g1': 0.0, 'g2': 1.0}","{'g1': 0.0059551025356173026, 'g2': 0.007346337069024367}"
test3,"{'g1': 0.0, 'g2': 1.0}","{'g1': 0.006466085521221229, 'g2': 0.009999328637425382}"
test4,"{'g1': 0.0, 'g2': 1.0}","{'g1': 0.004617075026596874, 'g2': 0.007311400951531255}"
test5,"{'g1': 0.0, 'g2': 1.0}","{'g1': 0.00402020457966521, 'g2': 0.008853405195634679}"
