,H1_UNION,H2_RNN
test1,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.01840087518800964, 'g2': 0.07638063950845704, 'g3': 0.00522956576217509, 'g4': 0.06950092534745952}"
test2,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.024939793065581795, 'g2': 0.01026578648695221, 'g3': 0.0005678320324429668, 'g4': 0.002081249452916418}"
test3,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.053400739948788925, 'g2': 0.1625262960487437, 'g3': 0.0020152741704516845, 'g4': 0.15707490817666733}"
test4,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.015190971894135725, 'g2': 0.3664009923825229, 'g3': 0.01484101141775098, 'g4': 0.02870953922013509}"
test5,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.01825000985440708, 'g2': 0.28572374242668214, 'g3': 0.01182289591138018, 'g4': 0.35996098602652693}"
