,H1_UNION,H2_RNN
test1,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.02187821486394495, 'g2': 0.05946403503088647, 'g3': 0.22538659621964813, 'g4': 0.49237058865943556}"
test2,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.04529493796872181, 'g2': 1.0308490197828497, 'g3': 0.22757558429736302, 'g4': 0.04908466995172965}"
test3,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.02258978136079209, 'g2': 0.18673910614827424, 'g3': 0.07040209920538817, 'g4': 0.0074506990194715995}"
test4,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.022773905227463996, 'g2': 0.017982032610842764, 'g3': 0.11327038550134498, 'g4': 0.0014625716425484346}"
test5,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.02670408838649172, 'g2': 0.0071686086941498495, 'g3': 0.014393294212412814, 'g4': 0.0007879933382292664}"
