,H1_UNION,H2_RNN
0,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.018725475375135164, 'g2': 0.7320914240341303, 'g3': 0.1349842670646273, 'g4': 0.014251804637711715}"
1,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.02471906477421462, 'g2': 0.011666982265710172, 'g3': 0.010089101845125424, 'g4': 0.0011224645733026051}"
2,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.023585287043985468, 'g2': 0.023213538712852505, 'g3': 0.0025025183272098885, 'g4': 0.001055200028706218}"
3,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.03175477367941085, 'g2': 0.1812294899092611, 'g3': 0.5247982464818897, 'g4': 0.00692728781351571}"
4,"{'g1': 0.0, 'g2': 1.0, 'g3': 0.0, 'g4': 0.0}","{'g1': 0.029124663890569516, 'g2': 0.038051843768926966, 'g3': 0.005318014050433807, 'g4': 1.297237798290476}"
